Date,Open,High,Low,Close,Volume
2018-04-29T16:25:00.000Z,9325.6,9325.7,9325.6,9325.7,0.68912098
2018-04-29T16:26:00.000Z,9325.6,9325.7,9321,9321,11.46387454
2018-04-29T16:27:00.000Z,9321.1,9321.1,9312.5,9312.5,6.75063532
2018-04-29T16:28:00.000Z,9312.6,9312.6,9306.3,9308.6,5.70369613
2018-04-29T16:29:00.000Z,9312.2,9312.2,9300.088317,9305.4,4.14775174
2018-04-29T16:30:00.000Z,9304.7,9304.7,9301,9301,1.58690224
2018-04-29T16:31:00.000Z,9300.9,9300.9,9300,9300.1,4.72597704
2018-04-29T16:32:00.000Z,9300.1,9300.2,9300.1,9300.2,0.46214787
2018-04-29T16:33:00.000Z,9300.2,9301,9300.1,9301,1.133511
2018-04-29T16:34:00.000Z,9300.9,9310.2,9300.9,9305,79.50877286
2018-04-29T16:35:00.000Z,9305,9305,9303.5,9303.5,2.87531296
2018-04-29T16:36:00.000Z,9303.5,9303.5,9302.688433,9303,3.8488931
2018-04-29T16:37:00.000Z,9302.9,9303,9301,9301.1,3.28761978
2018-04-29T16:38:00.000Z,9301.1,9301.1,9301,9301.1,5.85439201
2018-04-29T16:39:00.000Z,9301,9301.1,9301,9301.1,5.54285197
2018-04-29T16:40:00.000Z,9301.1,9301.1,9300.1,9301.1,17.1547019
2018-04-29T16:41:00.000Z,9301.1,9301.1,9301,9301.1,9.60011884
2018-04-29T16:42:00.000Z,9301.1,9301.1,9301,9301.1,9.74582209
2018-04-29T16:43:00.000Z,9301.1,9301.1,9301.058833,9301.1,6.14592672
2018-04-29T16:44:00.000Z,9301.1,9301.1,9301,9301,12.15494805
2018-04-29T16:45:00.000Z,9301,9301.1,9301,9301,9.68108486
2018-04-29T16:46:00.000Z,9301.1,9301.1,9301,9301.1,4.21271919
2018-04-29T16:47:00.000Z,9301.1,9301.1,9301,9301.1,2.46362372
2018-04-29T16:48:00.000Z,9301.1,9301.1,9301,9301.1,4.39033852
2018-04-29T16:49:00.000Z,9301.1,9301.1,9301,9301.1,8.8533449
2018-04-29T16:50:00.000Z,9301.1,9301.1,9301,9301,7.06973842
2018-04-29T16:51:00.000Z,9301.1,9301.1,9301,9301.1,2.47227898
2018-04-29T16:52:00.000Z,9301.1,9301.1,9301,9301.1,31.21066879
2018-04-29T16:53:00.000Z,9301.1,9301.1,9301,9301.1,17.92271861
2018-04-29T16:54:00.000Z,9301.1,9301.1,9301,9301.1,40.09972887
2018-04-29T16:55:00.000Z,9301.1,9301.1,9301,9301.1,7.00234083
2018-04-29T16:56:00.000Z,9301.1,9301.1,9301,9301.1,1.27408903
2018-04-29T16:57:00.000Z,9301.1,9301.1,9301,9301,6.24611975
2018-04-29T16:58:00.000Z,9301.1,9301.1,9301,9301,4.775386
2018-04-29T16:59:00.000Z,9301.1,9301.1,9300.947867,9301.1,7.72151597
2018-04-29T17:00:00.000Z,9301.1,9301.1,9300.947867,9300.947867,12.47146915
2018-04-29T17:01:00.000Z,9300.947867,9301,9300.947867,9301,5.02172395
2018-04-29T17:02:00.000Z,9300.947867,9301,9300.937518,9300.937518,12.61167785
2018-04-29T17:03:00.000Z,9300.937518,9300.937518,9247.1,9247.2,100.4638582
2018-04-29T17:04:00.000Z,9247.2,9265.4,9247.2,9263,15.6159166
2018-04-29T17:05:00.000Z,9263,9263,9250,9250.1,4.76223643
2018-04-29T17:06:00.000Z,9250,9255.2,9250,9255.1,1.66048804
2018-04-29T17:07:00.000Z,9255.1,9255.2,9250.4,9250.4,11.1019688
2018-04-29T17:08:00.000Z,9250.4,9250.5,9247.1,9247.1,11.6248706
